Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
L'isle D'espagnac,Esplanade Jean Ferrand,Esplanade Jean Ferrand,,04/04/2022 22:52:21,TRUE,Officiel L'isle D'espagnac,,"45.660550, 0.201310",TRUE
L'isle D'espagnac,Rue de la libération,Rue de la libération,1,23/04/2022 15:34:21,TRUE,Officiel L'isle D'espagnac,1,"45.666133, 0.202772",TRUE
L'isle D'espagnac,Avenue Jean Mermoz ,foyer culture loisirs,1,30/05/2022 23:27:11,FALSE,Officiel L'isle D'espagnac,1,"45.672439, 0.209565",TRUE
L'isle D'espagnac,Avenue de Montbron,Bois Boutin,,04/04/2022 21:58:37,TRUE,Officiel L'isle D'espagnac,,"45.662982, 0.215199",TRUE
L'isle D'espagnac,Avenue Jean Jaurès,rue Georges Clémenceau,,18/04/2022 18:09:39,TRUE,Officiel L'isle D'espagnac,,"45.652663, 0.190478",TRUE
L'isle D'espagnac,Rue des Plantiers,Rue des Plantiers,1,23/04/2022 17:09:29,TRUE,Officiel L'isle D'espagnac,1,"45.666151, 0.195949",TRUE
L'isle D'espagnac,Rue Denis Papin,,1,18/04/2022 18:18:52,TRUE,Officiel L'isle D'espagnac,1,"45.658958, 0.190642",TRUE
L'isle D'espagnac,Rue Aristide Briand,Ancien garage,,04/04/2022 22:03:01,TRUE,Officiel L'isle D'espagnac,,"45.65923493182166, 0.20471217688967455",TRUE
L'isle D'espagnac,Rue Victore Hugo,Rue Victore Hugo,1,23/04/2022 17:06:20,TRUE,Officiel L'isle D'espagnac,1,"45.668552, 0.187267",TRUE
L'isle D'espagnac,Boulevard des Ecasseaux,Boulevard des Ecasseaux,,23/04/2022 17:07:30,TRUE,Officiel L'isle D'espagnac,,"45.66559819079456, 0.1903490781182613",TRUE
L'isle D'espagnac,Avenue de la République,,1,23/04/2022 15:42:40,TRUE,Officiel L'isle D'espagnac,1,"45.660834, 0.182274",TRUE
MAGNAC SUR TOUVRE,Rue R. Guillardie,Rue R. Guillardie,,04/04/2022 21:43:11,TRUE,Officiel MAGNAC SUR TOUVRE,,"45.676294420912704, 0.22281911794601245",TRUE
MAGNAC SUR TOUVRE,Rue Pasteur,Rue Pasteur,,31/05/2022 10:25:31,FALSE,Officiel MAGNAC SUR TOUVRE,,"45.675868, 0.224621",TRUE
MAGNAC SUR TOUVRE,Place du marché,Place du marché,,31/05/2022 11:11:00,FALSE,Officiel MAGNAC SUR TOUVRE,,"45.665921, 0.237220",TRUE
MAGNAC SUR TOUVRE,Rue A. Briand,Rue A. Briand,,31/05/2022 11:16:29,FALSE,Officiel MAGNAC SUR TOUVRE,,"45.659902, 0.244279",TRUE
MAGNAC SUR TOUVRE,Rue J. Jaurès,Rue J. Jaurès,,31/05/2022 11:10:52,FALSE,Officiel MAGNAC SUR TOUVRE,,"45.658279, 0.234692",TRUE
MAGNAC SUR TOUVRE,Rue P. Cézanne,Rue P. Cézanne,,31/05/2022 11:24:50,FALSE,Officiel MAGNAC SUR TOUVRE,,"45.644991, 0.247302",TRUE
MORNAC,Rue des écoles,Rue des écoles,,31/05/2022 11:49:41,FALSE,Officiel MORNAC,,"45.679527, 0.273052",TRUE
MORNAC,Le Quéroy - Route de Mirambeau,Le Quéroy - Route de Mirambeau,1,31/05/2022 11:36:41,FALSE,Officiel MORNAC,1,"45.665041, 0.305755",TRUE
MORNAC,Résidence Chabasse,Résidence Chabasse,1,31/05/2022 11:42:54,FALSE,Officiel MORNAC,1,"45.683471, 0.284934",TRUE
MORNAC,"""Puy de Nanteuil"" - Route des grands champs","""Puy de Nanteuil"" - Route des grands champs",,31/05/2022 12:14:17,FALSE,Officiel MORNAC,,"45.700205, 0.270279",TRUE
RUELLE,école Doisneau,école Doisneau,1,31/05/2022 10:50:44,FALSE,Officiel RUELLE,1,"45.679380, 0.229815",TRUE
RUELLE,Place du Champ de Mars,Place du Champ de Mars,,30/05/2022 20:08:55,FALSE,Officiel RUELLE,,"45.678745003855084, 0.22824992948057954",TRUE
RUELLE,Ecole des Riffauds,Ecole des Riffauds,1,31/05/2022 12:02:25,FALSE,Officiel RUELLE,1,"45.688926, 0.257358",TRUE
RUELLE,les seguins,les seguins,1,31/05/2022 09:19:14,FALSE,Officiel RUELLE,1,"45.679468, 0.212644",TRUE
RUELLE,Ecole de Villement,Ecole de Villement,1,21/04/2022 23:39:35,TRUE,Officiel RUELLE,1,"45.678332, 0.196263",TRUE
RUELLE,La Combe aux Loups,La Combe aux Loups,,20/04/2022 17:34:00,TRUE,Officiel RUELLE,,"45.68796537015154, 0.22228300875914125",TRUE
RUELLE,HLM Puyguillen,HLM Puyguillen,1,31/05/2022 10:55:44,FALSE,Officiel RUELLE,1,"45.677288, 0.239821",TRUE
RUELLE,Dépôt services communaux,,1,31/05/2022 10:45:36,FALSE,Officiel RUELLE,1,"45.681614, 0.233736",TRUE
Angoulême,Espace Franquin,Espace Franquin,,30/05/2022 21:42:20,FALSE,Officiel Angoulême,,"45.64939700471602, 0.1598302353428778",TRUE
Angoulême,LEP de Sillac,LEP de Sillac,,30/05/2022 08:36:56,FALSE,Officiel Angoulême,,"45.64644381812403, 0.14002635264936159",TRUE
Angoulême,Place de la Marne,Place de la Marne,,30/05/2022 22:25:49,FALSE,Officiel Angoulême,,"45.64442647117743, 0.129306118589598",TRUE
Angoulême,Hôtel de ville,Hôtel de ville,,30/05/2022 06:21:44,FALSE,Officiel Angoulême,,"45.648715, 0.156168",TRUE
Angoulême,École Comtesse de Ségur/Collège Jules Verne,3 place Henri Dunant,,30/05/2022 21:47:38,FALSE,Officiel Angoulême,,"45.648560, 0.153648",TRUE
Angoulême,Maison de quartier Saint-Martin/Saint-Ausone,square R. Guichard,,09/04/2022 16:05:34,TRUE,Officiel Angoulême,,"45.65098675365656, 0.16571150552895333",TRUE
Angoulême,École primaire A. Fournie,École primaire A. Fournie,,30/05/2022 22:33:13,FALSE,Officiel Angoulême,,"45.652150, 0.127007",TRUE
Angoulême,"École Uderzo, rue Antoine de Conflans","École Uderzo, rue Antoine de Conflans",,30/05/2022 22:44:56,FALSE,Officiel Angoulême,,"45.6495630132644, 0.11614458785887308",TRUE
Angoulême,"Salle conviviale Grande Garenne, rue Pierre Aumaître","Salle conviviale Grande Garenne, rue Pierre Aumaître",,30/05/2022 22:28:50,FALSE,Officiel Angoulême,,"45.648230661866236, 0.12760699708792045",TRUE
Angoulême,"École Victor Hugo, rue F. Laporte","École Victor Hugo, rue F. Laporte",,30/05/2022 21:28:58,FALSE,Officiel Angoulême,,"45.648526, 0.175059",TRUE
Angoulême,"Bâtiment Prévert, grillage de clôture de la rue Théodore Botrel à l’entrée principale","Bâtiment Prévert, grillage de clôture de la rue Théodore Botrel à l’entrée principale",,30/05/2022 23:08:14,FALSE,Officiel Angoulême,,"45.653753, 0.169482",TRUE
Angoulême,Carrefour de la Madeleine,Carrefour de la Madeleine,,30/05/2022 23:17:43,FALSE,Officiel Angoulême,,"45.65843089240663, 0.1730521672355194",TRUE
Angoulême,École maternelle A. Daudet,École maternelle A. Daudet,,30/05/2022 23:02:45,FALSE,Officiel Angoulême,,"45.6555026411427, 0.16026983280545987",TRUE
Angoulême,École Victor Duruy,École Victor Duruy,,30/05/2022 22:53:51,FALSE,Officiel Angoulême,,"45.65730339764431, 0.14698582319602277",TRUE
Angoulême,archives départementales,archives départementales,,30/05/2022 06:24:30,FALSE,Officiel Angoulême,,"45.65208588136844, 0.1633060144200151",TRUE
Angoulême,383 rue de Périgueux,383 rue de Périgueux,,30/05/2022 21:23:57,FALSE,Officiel Angoulême,,"45.64493587413583, 0.17962620758933365",TRUE
Angoulême,"Rue de Bordeaux, entrée du Nil","Rue de Bordeaux, entrée du Nil",,30/05/2022 22:57:50,FALSE,Officiel Angoulême,,"45.65350715086419, 0.1483270120409856",TRUE
Angoulême,42 boulevard de Bretagne,42 boulevard de Bretagne,,30/05/2022 12:41:53,FALSE,Officiel Angoulême,,"45.661680520129536, 0.14479680641398876",TRUE
Angoulême,"Collège Marguerite de Valois, en face du 7 rue Marguerite d’Angoulême",7 rue Marguerite d’Angoulême,,30/05/2022 23:13:45,FALSE,Officiel Angoulême,,"45.653660, 0.176478",TRUE
Angoulême,"École Ferdinand Buisson, 114 rue de Périgueux","École Ferdinand Buisson, 114 rue de Périgueux",,30/05/2022 21:36:07,FALSE,Officiel Angoulême,,"45.64787486199999, 0.16762273470819916",TRUE
Angoulême,École maternelle Jean de La Fontaine,École maternelle Jean de La Fontaine,,30/05/2022 21:33:36,FALSE,Officiel Angoulême,,"45.648945, 0.167455",TRUE
Angoulême,"Ma Campagne, allée de la Pléiade","Ma Campagne, allée de la Pléiade",,30/05/2022 22:05:08,FALSE,Officiel Angoulême,,"45.630646, 0.154917",TRUE
Angoulême,place de l’Arche,place de l’Arche,,30/05/2022 22:18:06,FALSE,Officiel Angoulême,,"45.63203961603045, 0.14081251813629167",TRUE
Angoulême,"Rue R. Poincaré, face à la poste centrale du Champ de Mars","Rue R. Poincaré, face à la poste centrale du Champ de Mars",,30/05/2022 08:48:15,FALSE,Officiel Angoulême,,"45.649881776558914, 0.16275260596603794",TRUE
Angoulême,école maternelle Condorcet,école maternelle Condorcet,,30/05/2022 08:55:30,FALSE,Officiel Angoulême,,"45.647766, 0.161840",TRUE
Angoulême,Place Vittoria,Place Vittoria,,30/05/2022 22:13:31,FALSE,Officiel Angoulême,,"45.63008075713309, 0.1491737116367106",TRUE
Angoulême,Rue de la Belle Allée du Petit Fresque,Rue de la Belle Allée du Petit Fresque,1,30/05/2022 21:57:51,FALSE,Officiel Angoulême,1,"45.638105, 0.171827",TRUE
Angoulême,"Ma Campagne, parking d’Intermarché de Ma Campagne","Ma Campagne, parking d’Intermarché de Ma Campagne",,30/05/2022 22:09:26,FALSE,Officiel Angoulême,,"45.63280830333968, 0.15215447913309238",TRUE
Angoulême,"Collège Jules Michelet, parking rue des Frères Lumière","Collège Jules Michelet, parking rue des Frères Lumière",,23/04/2022 16:19:06,TRUE,Officiel Angoulême,,"45.648741, 0.165676",TRUE
Ruelle,A,DCNS,1,31/05/2022 09:26:24,FALSE,Officiel ruelle,1,"45.678749, 0.225340",TRUE
L'isle D'espagnac,Ici,Isle d'Espagnac,1,18/04/2022 18:17:44,TRUE,Officiel L'isle D'espagnac,1,"45.658861, 0.190995",TRUE
BALZAC,Place Jean-Louis Guez de Balzac,,,30/05/2022 12:43:03,FALSE,Officiel BALZAC,,"45.71123505126908, 0.1376286992288311",TRUE
BALZAC,Place de la Liberté,,,30/05/2022 12:43:07,FALSE,Officiel BALZAC,,"45.711869924694284, 0.14580236342161954",TRUE
BOUEX, place de la Mairie,,,21/04/2022 18:19:39,TRUE,Officiel Bouex,,"45.616045, 0.317553",TRUE
CHAMPNIERS,Rue des Autours (Le Bourg),,,31/05/2022 08:03:03,FALSE,Officiel Champniers,,"45.714855, 0.203589",TRUE
CHAMPNIERS,Rue des Colverts (Le Bourg),,,31/05/2022 08:03:21,FALSE,Officiel Champniers,,"45.717174, 0.204578",TRUE
CHAMPNIERS,Rue de la Sauge,,,31/05/2022 08:03:42,FALSE,Officiel Champniers,,"45.700778, 0.237697",TRUE
CHAMPNIERS,Rue de l’Aneth,,,31/05/2022 08:03:38,FALSE,Officiel Champniers,,"45.704536, 0.235022",TRUE
CHAMPNIERS,Rue Jean-Baptiste de la Péruse,,,31/05/2022 08:03:10,FALSE,Officiel Champniers,,"45.747338, 0.191804",TRUE
CHAMPNIERS,Rue des Plantier,,,31/05/2022 08:02:42,FALSE,Officiel Champniers,,"45.69236821940109, 0.17772596448972328",TRUE
CHAMPNIERS,Rue des Platanes,,,31/05/2022 08:02:27,FALSE,Officiel Champniers,,"45.703257, 0.182068",TRUE
