Zone	Addresse	Nom	Nb affiches	Dernier Collage	DÇcollÇ?	Nom ItinÇraire	Pos ItinÇraire	CoordonnÇes	Officiel
L'isle D'espagnac	Esplanade Jean Ferrand	Esplanade Jean Ferrand		04/04/2022 22:52:21	TRUE	Officiel L'isle D'espagnac		45.660550, 0.201310	TRUE
L'isle D'espagnac	Rue de la libÇration	Rue de la libÇration	1	05/06/2022 19:51:24	FALSE	Officiel L'isle D'espagnac	1	45.666133, 0.202772	TRUE
L'isle D'espagnac	Avenue Jean Mermoz 	foyer culture loisirs	1	30/05/2022 23:27:11	FALSE	Officiel L'isle D'espagnac	1	45.672439, 0.209565	TRUE
L'isle D'espagnac	Avenue de Montbron	Bois Boutin		01/06/2022 23:19:38	FALSE	Officiel L'isle D'espagnac		45.662133, 0.218808	TRUE
L'isle D'espagnac	Avenue Jean Jauräs	rue Georges ClÇmenceau		01/06/2022 22:14:12	FALSE	Officiel L'isle D'espagnac		45.652663, 0.190478	TRUE
L'isle D'espagnac	Rue des Plantiers	Rue des Plantiers	1	01/06/2022 23:32:22	FALSE	Officiel L'isle D'espagnac	1	45.666151, 0.195949	TRUE
L'isle D'espagnac	Rue Denis Papin		1	01/06/2022 23:26:26	FALSE	Officiel L'isle D'espagnac	1	45.658958, 0.190642	TRUE
L'isle D'espagnac	Rue Aristide Briand	Ancien garage		01/06/2022 23:27:07	FALSE	Officiel L'isle D'espagnac		45.659478, 0.202945	TRUE
L'isle D'espagnac	Rue Victore Hugo	Rue Victore Hugo	1	01/06/2022 23:37:00	FALSE	Officiel L'isle D'espagnac	1	45.668552, 0.187267	TRUE
L'isle D'espagnac	Boulevard des Ecasseaux	Boulevard des Ecasseaux		01/06/2022 23:37:05	FALSE	Officiel L'isle D'espagnac		45.66559819079456, 0.1903490781182613	TRUE
L'isle D'espagnac	Avenue de la RÇpublique		1	05/06/2022 19:51:41	FALSE	Officiel L'isle D'espagnac	1	45.660834, 0.182274	TRUE
MAGNAC SUR TOUVRE	Rue R. Guillardie	Rue R. Guillardie		05/06/2022 20:33:11	FALSE	Franck		45.676294420912704, 0.22281911794601245	TRUE
MAGNAC SUR TOUVRE	Rue Pasteur	Rue Pasteur		05/06/2022 21:11:47	FALSE	Franck		45.675868, 0.224621	TRUE
MAGNAC SUR TOUVRE	Place du marchÇ	Place du marchÇ		05/06/2022 20:20:52	FALSE	Franck		45.665921, 0.237220	TRUE
MAGNAC SUR TOUVRE	Rue A. Briand	Rue A. Briand		05/06/2022 20:23:50	FALSE	Franck		45.659902, 0.244279	TRUE
MAGNAC SUR TOUVRE	Rue J. Jauräs	Rue J. Jauräs		05/06/2022 20:32:17	FALSE	Franck		45.658279, 0.234692	TRUE
MAGNAC SUR TOUVRE	Rue P. CÇzanne	Rue P. CÇzanne		05/06/2022 20:26:41	FALSE	Franck		45.644991, 0.247302	TRUE
MORNAC	Rue des Çcoles	Rue des Çcoles		05/06/2022 22:40:57	FALSE	Franck		45.679527, 0.273052	TRUE
MORNAC	Le QuÇroy - Route de Mirambeau	Le QuÇroy - Route de Mirambeau	1	31/05/2022 11:36:41	FALSE	Franck	1	45.665041, 0.305755	TRUE
MORNAC	RÇsidence Chabasse	RÇsidence Chabasse	1	05/06/2022 22:44:50	FALSE	Franck	1	45.683471, 0.284934	TRUE
MORNAC	"Puy de Nanteuil" - Route des grands champs	"Puy de Nanteuil" - Route des grands champs		31/05/2022 12:14:17	FALSE	Franck		45.700205, 0.270279	TRUE
RUELLE	Çcole Doisneau	Çcole Doisneau	1	05/06/2022 17:31:15	FALSE	Officiel RUELLE	1	45.679380, 0.229815	TRUE
RUELLE	Place du Champ de Mars	Place du Champ de Mars		05/06/2022 17:27:22	TRUE	Officiel RUELLE		45.678745003855084, 0.22824992948057954	TRUE
RUELLE	Ecole des Riffauds	Ecole des Riffauds	1	05/06/2022 17:36:05	FALSE	Officiel RUELLE	1	45.688926, 0.257358	TRUE
RUELLE	les seguins	les seguins	1	31/05/2022 09:19:14	FALSE	Officiel RUELLE	1	45.679468, 0.212644	TRUE
RUELLE	Ecole de Villement	Ecole de Villement	1	05/06/2022 18:03:16	FALSE	Officiel RUELLE	1	45.678332, 0.196263	TRUE
RUELLE	La Combe aux Loups	La Combe aux Loups		05/06/2022 17:55:14	FALSE	Officiel RUELLE		45.687737, 0.221676	TRUE
RUELLE	HLM Puyguillen	HLM Puyguillen	1	05/06/2022 17:48:47	FALSE	Officiel RUELLE	1	45.677288, 0.239821	TRUE
RUELLE	DÇpìt services communaux		1	05/06/2022 17:31:17	FALSE	Officiel RUELLE	1	45.681614, 0.233736	TRUE
Angoulàme	Espace Franquin	Espace Franquin		30/05/2022 21:42:20	FALSE	Officiel Angoulàme		45.64939700471602, 0.1598302353428778	TRUE
Angoulàme	LEP de Sillac	LEP de Sillac		05/06/2022 18:44:32	FALSE	Officiel Angoulàme		45.64644381812403, 0.14002635264936159	TRUE
Angoulàme	Place de la Marne	Place de la Marne		05/06/2022 19:30:26	FALSE	Officiel Angoulàme		45.643903, 0.128860	TRUE
Angoulàme	Hìtel de ville	Hìtel de ville		30/05/2022 06:21:44	FALSE	Officiel Angoulàme		45.648715, 0.156168	TRUE
Angoulàme	êcole Comtesse de SÇgur/Colläge Jules Verne	3 place Henri Dunant		30/05/2022 21:47:38	FALSE	Officiel Angoulàme		45.648560, 0.153648	TRUE
Angoulàme	Maison de quartier Saint-Martin/Saint-Ausone	square R. Guichard		02/06/2022 00:45:31	FALSE	Officiel Angoulàme		45.648983, 0.144806	TRUE
Angoulàme	êcole primaire A. Fournie	êcole primaire A. Fournie		05/06/2022 18:59:18	FALSE	Officiel Angoulàme		45.652150, 0.127007	TRUE
Angoulàme	êcole Uderzo, rue Antoine de Conflans	êcole Uderzo, rue Antoine de Conflans		05/06/2022 19:18:14	FALSE	Officiel Angoulàme		45.6495630132644, 0.11614458785887308	TRUE
Angoulàme	Salle conviviale Grande Garenne, rue Pierre Aumaåtre	Salle conviviale Grande Garenne, rue Pierre Aumaåtre		05/06/2022 19:11:18	FALSE	Officiel Angoulàme		45.648230661866236, 0.12760699708792045	TRUE
Angoulàme	êcole Victor Hugo, rue F. Laporte	êcole Victor Hugo, rue F. Laporte		30/05/2022 21:28:58	FALSE	Officiel Angoulàme		45.648526, 0.175059	TRUE
Angoulàme	BÉtiment PrÇvert, grillage de clìture de la rue ThÇodore Botrel Ö l'entrÇe principale	BÉtiment PrÇvert, grillage de clìture de la rue ThÇodore Botrel Ö l'entrÇe principale		31/05/2022 23:35:41	FALSE	Officiel Angoulàme		45.653753, 0.169482	TRUE
Angoulàme	Carrefour de la Madeleine	Carrefour de la Madeleine		05/06/2022 18:14:15	FALSE	Officiel Angoulàme		45.65843089240663, 0.1730521672355194	TRUE
Angoulàme	êcole maternelle A. Daudet	êcole maternelle A. Daudet		05/06/2022 19:37:59	FALSE	Officiel Angoulàme		45.6555026411427, 0.16026983280545987	TRUE
Angoulàme	êcole Victor Duruy	êcole Victor Duruy		05/06/2022 18:33:06	FALSE	Officiel Angoulàme		45.65730339764431, 0.14698582319602277	TRUE
Angoulàme	archives dÇpartementales	archives dÇpartementales		31/05/2022 23:35:53	TRUE	Officiel Angoulàme		45.65208588136844, 0.1633060144200151	TRUE
Angoulàme	383 rue de PÇrigueux	383 rue de PÇrigueux		30/05/2022 21:23:57	FALSE	Officiel Angoulàme		45.64493587413583, 0.17962620758933365	TRUE
Angoulàme	Rue de Bordeaux, entrÇe du Nil	Rue de Bordeaux, entrÇe du Nil		05/06/2022 18:38:51	FALSE	Officiel Angoulàme		45.65350715086419, 0.1483270120409856	TRUE
Angoulàme	42 boulevard de Bretagne	42 boulevard de Bretagne		05/06/2022 18:28:26	FALSE	Officiel Angoulàme		45.661680520129536, 0.14479680641398876	TRUE
Angoulàme	Colläge Marguerite de Valois, en face du 7 rue Marguerite d'Angoulàme	7 rue Marguerite d'Angoulàme		30/05/2022 23:13:45	FALSE	Officiel Angoulàme		45.653660, 0.176478	TRUE
Angoulàme	êcole Ferdinand Buisson, 114 rue de PÇrigueux	êcole Ferdinand Buisson, 114 rue de PÇrigueux		30/05/2022 21:36:07	FALSE	Officiel Angoulàme		45.64787486199999, 0.16762273470819916	TRUE
Angoulàme	êcole maternelle Jean de La Fontaine	êcole maternelle Jean de La Fontaine		30/05/2022 21:33:36	FALSE	Officiel Angoulàme		45.648945, 0.167455	TRUE
Angoulàme	Ma Campagne, allÇe de la PlÇiade	Ma Campagne, allÇe de la PlÇiade		30/05/2022 22:05:08	FALSE	Officiel Angoulàme		45.630646, 0.154917	TRUE
Angoulàme	place de l'Arche	place de l'Arche		30/05/2022 22:18:06	FALSE	Officiel Angoulàme		45.63203961603045, 0.14081251813629167	TRUE
Angoulàme	Rue R. PoincarÇ, face Ö la poste centrale du Champ de Mars	Rue R. PoincarÇ, face Ö la poste centrale du Champ de Mars		30/05/2022 08:48:15	FALSE	Officiel Angoulàme		45.649881776558914, 0.16275260596603794	TRUE
Angoulàme	Çcole maternelle Condorcet	Çcole maternelle Condorcet		30/05/2022 08:55:30	FALSE	Officiel Angoulàme		45.647766, 0.161840	TRUE
Angoulàme	Place Vittoria	Place Vittoria		30/05/2022 22:13:31	FALSE	Officiel Angoulàme		45.63008075713309, 0.1491737116367106	TRUE
Angoulàme	Rue de la Belle AllÇe du Petit Fresque	Rue de la Belle AllÇe du Petit Fresque	1	30/05/2022 21:57:51	FALSE	Officiel Angoulàme	1	45.638105, 0.171827	TRUE
Angoulàme	Ma Campagne, parking d'IntermarchÇ de Ma Campagne	Ma Campagne, parking d'IntermarchÇ de Ma Campagne		30/05/2022 22:09:26	FALSE	Officiel Angoulàme		45.63280830333968, 0.15215447913309238	TRUE
Angoulàme	Colläge Jules Michelet, parking rue des Fräres Lumiäre	Colläge Jules Michelet, parking rue des Fräres Lumiäre		23/04/2022 16:19:06	TRUE	Officiel Angoulàme		45.648741, 0.165676	TRUE
Ruelle	A	DCNS	1	05/06/2022 17:27:17	FALSE	Officiel ruelle	1	45.678749, 0.225340	TRUE
L'isle D'espagnac	Ici	Isle d'Espagnac	1	18/04/2022 18:17:44	TRUE	Officiel L'isle D'espagnac	1	45.658861, 0.190995	FALSE
BALZAC	Place Jean-Louis Guez de Balzac			30/05/2022 12:43:03	FALSE	Officiel BALZAC		45.71123505126908, 0.1376286992288311	TRUE
BALZAC	Place de la LibertÇ			30/05/2022 12:43:07	FALSE	Officiel BALZAC		45.711869924694284, 0.14580236342161954	TRUE
BOUEX	 place de la Mairie			01/06/2022 23:12:27	FALSE	Officiel Bouex		45.616045, 0.317553	TRUE
CHAMPNIERS	Rue des Autours (Le Bourg)			31/05/2022 08:03:03	FALSE	Officiel Champniers		45.714855, 0.203589	TRUE
CHAMPNIERS	Rue des Colverts (Le Bourg)			31/05/2022 08:03:21	FALSE	Officiel Champniers		45.717174, 0.204578	TRUE
CHAMPNIERS	Rue de la Sauge			31/05/2022 08:03:42	FALSE	Officiel Champniers		45.700778, 0.237697	TRUE
CHAMPNIERS	Rue de l'Aneth			31/05/2022 08:03:38	FALSE	Officiel Champniers		45.704536, 0.235022	TRUE
CHAMPNIERS	Rue Jean-Baptiste de la PÇruse			31/05/2022 08:03:10	FALSE	Officiel Champniers		45.747338, 0.191804	TRUE
CHAMPNIERS	Rue des Plantier			31/05/2022 08:02:42	FALSE	Officiel Champniers		45.69236821940109, 0.17772596448972328	TRUE
CHAMPNIERS	Rue des Platanes			31/05/2022 08:02:27	FALSE	Officiel Champniers		45.703257, 0.182068	TRUE
CHAMPNIERS	Rue des Porches			31/05/2022 08:02:48	FALSE	Officiel Champniers		45.691738, 0.210664	TRUE
CHAMPNIERS	Rue des Capucines Les GuÇrins			31/05/2022 08:02:31	FALSE	Officiel Champniers		45.703341, 0.169547	TRUE
CHAMPNIERS	Rue des Vielles Pierres (Chez Nauve)			31/05/2022 08:02:18	FALSE	Officiel Champniers		45.701228, 0.208994	TRUE
CHAMPNIERS	Chemin de l'Oil de Bouf (La Vallade)			31/05/2022 08:56:08	FALSE	Officiel Champniers		45.678479, 0.184331	TRUE
CHAMPNIERS	Rue Lucien Deschamps/rue Marguerite de Valois (Les Limbaudiäres)			31/05/2022 08:03:06	FALSE	Officiel Champniers		45.736109, 0.209972	TRUE
CHAMPNIERS	Chemin des Plaqueminiers (Les Rossignols)			31/05/2022 08:02:23	FALSE	Officiel Champniers		45.703899, 0.194366	TRUE
Dirac	mairie			05/06/2022 22:40:40	FALSE	Franck		45.605417, 0.248379	TRUE
FlÇac	êcole			30/05/2022 12:44:06	FALSE	Officiel FlÇac		45.66774337862188, 0.09682043962804135	TRUE
FlÇac	ThouÇrat (Placette)			30/05/2022 12:44:20	FALSE	Officiel FlÇac		45.66904199261491, 0.11283684922356385	TRUE
FlÇac	Rue de La Lurate			30/05/2022 12:44:16	FALSE	Officiel FlÇac		45.68069265194252, 0.09800828035165411	TRUE
FlÇac	Place Bioujou (La Vallade)			30/05/2022 12:44:11	FALSE	Officiel FlÇac		45.677572858413875, 0.08730044194502833	TRUE
FlÇac	Place de BrÇnat			30/05/2022 12:44:13	FALSE	Officiel FlÇac		45.68653648475113, 0.07452382324279412	TRUE
FlÇac	Rue de Badoris			30/05/2022 12:43:57	FALSE	Officiel FlÇac		45.653018744541946, 0.09517136398849983	TRUE
FlÇac	Avenue des Sports			30/05/2022 12:44:02	FALSE	Officiel FlÇac		45.66197330713641, 0.0897632971530561	TRUE
FlÇac	Place Markbreit (centre commercial			30/05/2022 12:44:08	FALSE	Officiel FlÇac		45.66460508180832, 0.0928749539422883	TRUE
GARAT	Rue du Stade, clìture du Stade Jean Niollet			05/06/2022 21:12:58	FALSE	Franck		45.621714, 0.262950	TRUE
GOND-PONTOUVRE	Route de Vars (mur du cimetiäre)			31/05/2022 22:22:32	FALSE	Officiel GOND-PONTOUVRE		45.663938, 0.162226	TRUE
GOND-PONTOUVRE	Route de Vars (face au CrÇdit Agricole)			31/05/2022 22:22:29	FALSE	Officiel GOND-PONTOUVRE		45.669112, 0.160852	TRUE
GOND-PONTOUVRE	Chalonne			30/05/2022 12:43:33	FALSE	Officiel GOND-PONTOUVRE		45.689478, 0.155924	TRUE
GOND-PONTOUVRE	Rue Pasteur			31/05/2022 22:22:55	FALSE	Officiel GOND-PONTOUVRE		45.676565, 0.175162	TRUE
GOND-PONTOUVRE	Rue du GÇnÇral Leclerc (cotÇ voie de chemin de fer)			31/05/2022 22:22:39	FALSE	Officiel GOND-PONTOUVRE		45.661135, 0.171567	TRUE
GOND-PONTOUVRE	Route de Paris (Pont de Pisany)			31/05/2022 22:22:38	FALSE	Officiel GOND-PONTOUVRE		45.666153, 0.171555	TRUE
GOND-PONTOUVRE	Route de Paris (Pont de la Touvre)			31/05/2022 22:22:45	FALSE	Officiel GOND-PONTOUVRE		45.67611299938535, 0.1751153225237239	TRUE
GOND-PONTOUVRE	Rue de l'êgalitÇ (ancienne mairie)			31/05/2022 22:22:34	FALSE	Officiel GOND-PONTOUVRE		45.667181, 0.165811	TRUE
GOND-PONTOUVRE	êcole du Pontouvre			31/05/2022 22:22:43	FALSE	Officiel GOND-PONTOUVRE		45.671688, 0.173511	TRUE
GOND-PONTOUVRE	êcole de Roffit			31/05/2022 19:08:49	FALSE	Officiel GOND-PONTOUVRE		45.675873, 0.158100	TRUE
GOND-PONTOUVRE	Rue du Treuil (grille du CES)			31/05/2022 19:09:12	FALSE	Officiel GOND-PONTOUVRE		45.680128, 0.163816	TRUE
La Couronne	Place de la Mairie			30/05/2022 08:07:12	FALSE	Officiel La Couronne		45.608613, 0.101834	TRUE
La Couronne	Place du 14 Juillet			30/05/2022 07:52:01	FALSE	Officiel La Couronne		45.609526, 0.097303	TRUE
La Couronne	La MontÇe, avenue de la Gare (giratoire Super U)			30/05/2022 07:46:30	FALSE	Officiel La Couronne		45.607005, 0.088215	TRUE
La Couronne	Lafont, route du Moulin de Colas			30/05/2022 07:34:01	FALSE	Officiel La Couronne		45.613188, 0.070357	TRUE
La Couronne	Le Mas, route de Saint-Michel			30/05/2022 07:10:04	FALSE	Officiel La Couronne		45.625434, 0.096216	TRUE
La Couronne	Le Grand Maine, route du Grand Maine			30/05/2022 07:17:45	FALSE	Officiel La Couronne		45.623183, 0.077189	TRUE
La Couronne	Breuty, place de Breuty			30/05/2022 08:26:46	FALSE	Officiel La Couronne		45.618968, 0.116725	TRUE
La Couronne	Le Pont des Gallands, giratoire de la route de Mouthiers			30/05/2022 08:07:06	FALSE	Officiel La Couronne		45.599838, 0.098255	TRUE
La Couronne	Les Barrets, place de la route de la Charbonniäre			30/05/2022 07:41:38	FALSE	Officiel La Couronne		45.612049, 0.086195	TRUE
La Couronne	Le Pont Neuf, entrÇe du lot de la route de Vouil			30/05/2022 08:16:35	FALSE	Officiel La Couronne		45.60201908577267, 0.13897836111157483	TRUE
La Couronne	Les SÇverins, route de Vouil aux SÇverins			30/05/2022 08:11:38	FALSE	Officiel La Couronne		45.605272, 0.119459	TRUE
NERSAC	Salle communale			30/05/2022 23:24:11	FALSE	Officiel Nersac		45.623645, 0.050572	TRUE
NERSAC	Place de l'Union			30/05/2022 23:24:13	FALSE	Officiel Nersac		45.625847, 0.050950	TRUE
NERSAC	HLM			30/05/2022 23:24:18	FALSE	Officiel Nersac		45.626009, 0.049680	TRUE
NERSAC	êcole Alfred de Vigny groupe B			30/05/2022 23:31:04	FALSE	Officiel Nersac		45.627446, 0.050924	TRUE
NERSAC	Les Fleuranceaux			30/05/2022 23:33:28	FALSE	Officiel Nersac		45.630206, 0.052676	TRUE
NERSAC	La Meure			30/05/2022 23:31:12	FALSE	Officiel Nersac		45.633174, 0.047320	TRUE
NERSAC	Place du Peu			30/05/2022 23:07:36	FALSE	Officiel Nersac		45.625586, 0.059406	TRUE
NERSAC	Le Vieux Peu			30/05/2022 23:07:41	FALSE	Officiel Nersac		45.624915, 0.058345	TRUE
NERSAC	Le Pont Thuillier			30/05/2022 23:38:58	FALSE	Officiel Nersac		45.622077, 0.052672	TRUE
NERSAC	Place de Pombreton			31/05/2022 00:02:46	FALSE	Officiel Nersac		45.617804, 0.061088	TRUE
PUYMOYEN	Impasse de l'Ouche du Roy			30/05/2022 16:25:28	FALSE	Officiel PUYMOYEN		45.611277, 0.187396	TRUE
PUYMOYEN	Impasse de l'Ouche du Roy			30/05/2022 16:25:37	FALSE	Officiel PUYMOYEN		45.611330, 0.187573	TRUE
PUYMOYEN	Route de la VallÇe des Eaux Claires			30/05/2022 16:36:11	FALSE	Officiel PUYMOYEN		45.616422, 0.154760	TRUE
PUYMOYEN	Rue du Cormier			30/05/2022 15:59:34	FALSE	Officiel PUYMOYEN		45.616307, 0.173847	TRUE
PUYMOYEN	Rue des Bois de Rochefort			30/05/2022 15:52:52	FALSE	Officiel PUYMOYEN		45.618386, 0.166834	TRUE
PUYMOYEN	Rue de Vouillac			30/05/2022 15:44:30	FALSE	Officiel PUYMOYEN		45.620842, 0.162050	TRUE
PUYMOYEN	Rue de Peusec (devant la salle des fàtes)			30/05/2022 16:17:45	FALSE	Officiel PUYMOYEN		45.618136, 0.181021	TRUE
PUYMOYEN	Rue de la Prairie			30/05/2022 15:37:43	FALSE	Officiel PUYMOYEN		45.627571, 0.158058	TRUE
PUYMOYEN	Rue des Reclos (devant le parking)			30/05/2022 16:02:32	FALSE	Officiel PUYMOYEN		45.621000, 0.179966	TRUE
PUYMOYEN	Le Champ de la Croix			30/05/2022 16:11:06	FALSE	Officiel PUYMOYEN		45.614875, 0.185640	TRUE
Roullet-Saint-Estäphe	Parking de la Maison pour tous, rue Froide (Roullet bourg)			31/05/2022 00:02:39	FALSE	Officiel Roullet-Saint-Estäphe		45.583875430994645, 0.04752872324913014	TRUE
Roullet-Saint-Estäphe	Salle des fàtes, place du Champ-de-Foire (Roullet)			31/05/2022 00:02:36	FALSE	Officiel Roullet-Saint-Estäphe		45.581083926367576, 0.047861228449164524	TRUE
Roullet-Saint-Estäphe	Le bourg, Cantine, (Saint-Estäphe			31/05/2022 00:02:33	FALSE	Officiel Roullet-Saint-Estäphe		45.579677, 0.013132	TRUE
SAINT-MICHEL	Centre commercial : Avenue de la RÇpublique			30/05/2022 06:38:43	FALSE	Officiel SAINT-MICHEL		45.637096, 0.112146	TRUE
SAINT-MICHEL	Stade : Boulevard de Bretagne			30/05/2022 06:35:59	FALSE	Officiel SAINT-MICHEL		45.635077, 0.114333	TRUE
SAINT-MICHEL	Logis de Chantoiseau : Place du 19 mars 1962 (Impasse Chantoiseau)			30/05/2022 06:57:46	FALSE	Officiel SAINT-MICHEL		45.644778, 0.103201	TRUE
SAINT-MICHEL	Salle Polyvalente : Rue des Douhauds			30/05/2022 06:41:49	FALSE	Officiel SAINT-MICHEL		45.640461, 0.109513	TRUE
SAINT-MICHEL	Mairie : Rue Joseph Chaumette			30/05/2022 06:44:23	FALSE	Officiel SAINT-MICHEL		45.641356, 0.106724	TRUE
SAINT-MICHEL	HLM : Rue des Poätes			30/05/2022 06:51:29	FALSE	Officiel SAINT-MICHEL		45.647963, 0.108517	TRUE
SAINT-MICHEL	Les Hauts de Chantoiseau			30/05/2022 07:03:50	FALSE	Officiel SAINT-MICHEL		45.643507, 0.097782	TRUE
SAINT-MICHEL	Place des Sicauds			30/05/2022 06:57:50	FALSE	Officiel SAINT-MICHEL		45.640950, 0.101171	TRUE
