Zone,Addresse,Nom,Nbaffiches,DernierCollage,decolle,NomIti,PosIti,Coord,Officiel
Angoulême,Espace Franquin,Espace Franquin,,15/06/2022 22:46:40,TRUE,,,"45.64939700471602, 0.1598302353428778",TRUE
Angoulême,LEP de Sillac,LEP de Sillac,,14/06/2022 15:57:32,TRUE,,,"45.64644381812403, 0.14002635264936159",TRUE
Angoulême,Place de la Marne,Place de la Marne,,15/06/2022 23:50:56,TRUE,,,"45.643903, 0.128860",TRUE
Angoulême,Hôtel de ville,Hôtel de ville,,15/06/2022 10:18:59,TRUE,,,"45.648715, 0.156168",TRUE
Angoulême,École Comtesse de Ségur/Collège Jules Verne,3 place Henri Dunant,,15/06/2022 10:24:56,TRUE,,,"45.648560, 0.153648",TRUE
Angoulême,Maison de quartier Saint-Martin/Saint-Ausone,square R. Guichard,,15/06/2022 23:45:01,TRUE,,,"45.649007, 0.144835",TRUE
Angoulême,École primaire A. Fournie,École primaire A. Fournie,,15/12/2022 23:04:43,FALSE,,,"45.652150, 0.127007",TRUE
Angoulême,"École Uderzo, rue Antoine de Conflans","École Uderzo, rue Antoine de Conflans",,16/06/2022 00:09:55,TRUE,,,"45.649485, 0.117154",TRUE
Angoulême,"Salle conviviale Grande Garenne, rue Pierre Aumaître","Salle conviviale Grande Garenne, rue Pierre Aumaître",,15/06/2022 23:54:37,TRUE,,,"45.647520, 0.126390",TRUE
Angoulême,"École Victor Hugo, rue F. Laporte","École Victor Hugo, rue F. Laporte",,16/06/2022 08:45:03,TRUE,,,"45.648526, 0.175059",TRUE
Angoulême,"Bâtiment Prévert, grillage de clôture de la rue Théodore Botrel à l’entrée principale","Bâtiment Prévert, grillage de clôture de la rue Théodore Botrel à l’entrée principale",,16/06/2022 16:16:28,TRUE,,,"45.653753, 0.169482",TRUE
Angoulême,Carrefour de la Madeleine,Carrefour de la Madeleine,,16/06/2022 16:18:31,TRUE,,,"45.65843089240663, 0.1730521672355194",TRUE
Angoulême,École maternelle A. Daudet,École maternelle A. Daudet,,16/06/2022 23:09:06,TRUE,,,"45.6555026411427, 0.16026983280545987",TRUE
Angoulême,École Victor Duruy,École Victor Duruy,,15/06/2022 15:28:19,TRUE,,,"45.65730339764431, 0.14698582319602277",TRUE
Angoulême,archives départementales,archives départementales,,16/06/2022 08:54:43,TRUE,,,"45.65208588136844, 0.1633060144200151",TRUE
Angoulême,383 rue de Périgueux,383 rue de Périgueux,,15/06/2022 22:10:04,TRUE,,,"45.64493587413583, 0.17962620758933365",TRUE
Angoulême,"Rue de Bordeaux, entrée du Nil","Rue de Bordeaux, entrée du Nil",,14/06/2022 15:53:23,TRUE,,,"45.65350715086419, 0.1483270120409856",TRUE
Angoulême,"Rue de Bordeaux, entrée du Nil","Rue de Bordeaux, entrée du Nil",,15/06/2022 23:13:37,TRUE,Officiel Angoulême,,"45.653507, 0.148327",TRUE
Angoulême,"Collège Marguerite de Valois, en face du 7 rue Marguerite d’Angoulême",7 rue Marguerite d’Angoulême,,16/06/2022 16:09:44,TRUE,,,"45.653660, 0.176478",TRUE
Angoulême,"École Ferdinand Buisson, 114 rue de Périgueux","École Ferdinand Buisson, 114 rue de Périgueux",,15/06/2022 11:56:34,TRUE,,,"45.64787486199999, 0.16762273470819916",TRUE
Angoulême,École maternelle Jean de La Fontaine,École maternelle Jean de La Fontaine,,15/06/2022 12:01:42,TRUE,,,"45.649169, 0.167828",TRUE
Angoulême,"Ma Campagne, allée de la Pléiade","Ma Campagne, allée de la Pléiade",,16/06/2022 08:03:40,TRUE,,,"45.630613, 0.154916",TRUE
Angoulême,place de l’Arche,place de l’Arche,,17/06/2022 23:02:11,TRUE,,,"45.631013, 0.142467",TRUE
Angoulême,"Rue R. Poincaré, face à la poste centrale du Champ de Mars","Rue R. Poincaré, face à la poste centrale du Champ de Mars",,15/06/2022 12:12:24,TRUE,,,"45.649881776558914, 0.16275260596603794",TRUE
Angoulême,école maternelle Condorcet,école maternelle Condorcet,,15/06/2022 11:49:39,TRUE,,,"45.647766, 0.161840",TRUE
Angoulême,Place Vittoria,Place Vittoria,,17/06/2022 23:11:13,TRUE,,,"45.63008075713309, 0.1491737116367106",TRUE
Angoulême,Rue de la Belle Allée du Petit Fresque,Rue de la Belle Allée du Petit Fresque,1,15/06/2022 22:23:19,TRUE,,1,"45.639100, 0.172085",TRUE
Angoulême,"Ma Campagne, parking d’Intermarché de Ma Campagne","Ma Campagne, parking d’Intermarché de Ma Campagne",,16/06/2022 08:05:45,TRUE,,,"45.631952, 0.152983",TRUE
Angoulême,"Collège Jules Michelet, parking rue des Frères Lumière","Collège Jules Michelet, parking rue des Frères Lumière",,15/06/2022 12:02:21,TRUE,,,"45.648741, 0.165676",TRUE
Angoulême,"Bd Chanzy, 16006 Angoulême",Chanzy,,24/12/2022 09:46:49,FALSE,5,3,"45.642408, 0.176810",FALSE
Angoulême,"31 Bd Besson Bey, 16000 Angoulême",Bd Besson Bey,4,23/12/2022 07:51:00,TRUE,,3,"45.6579215,0.1607381",FALSE
Angoulême,"20 Rue de Clerac À Sillac, 16000 Angoulême",Clerac à Sillac,1,23/12/2022 10:15:36,TRUE,3,7,"45.640261, 0.156918",FALSE
Angoulême,"10 Pl. Delivertoux, 16000 Angoulême",Delivertoux,4,24/12/2022 09:02:24,FALSE,5,9,"45.648291, 0.175102",FALSE
Angoulême,"1 Rue de la Tourgarnier, 16000 Angoulême",Colonne Bussate,8,24/12/2022 08:53:01,FALSE,5,8,"45.647687, 0.166739",FALSE
Angoulême,"15 Rue d'Aguesseau, 16000 Angoulême",Espace Franquin,8,24/12/2022 08:52:56,FALSE,,9,"45.649534, 0.159657",FALSE
Angoulême,"1 Rue Raymond Poincaré, 16000 Angoulême",Hôtel de Police,8,24/12/2022 08:52:59,FALSE,,7,"45.649761, 0.162807",FALSE
Angoulême,"20 Pl. Mulac, 16000 Angoulême",Place Mulac,8,24/12/2022 08:53:11,FALSE,6,6,"45.6573651,0.1487417",FALSE
Angoulême,"43 Rue Jean Maintenon, 16000 Angoulême",Maintenon,8,17/06/2022 22:42:05,TRUE,6,7,"45.651394, 0.138920",FALSE
Angoulême,"3 Rue Saint-Vincent de Paul, 16000 Angoulême",St Vincent de Paul,8,23/12/2022 08:07:57,FALSE,6,3,"45.6482841,0.1202347",FALSE
Angoulême,"159 Rue Jules Durandeau, 16000 Angoulême",Jules Durandeau,8,28/12/2022 15:53:05,FALSE,6,4,"45.663715,0.151748",FALSE
Angoulême,"72 Rue de Beaulieu, 16000 Angoulême",Beaulieu,4,23/12/2022 10:49:21,FALSE,,8,"45.650599, 0.148989",FALSE
Angoulême,"17 Rue Gontran Labregere, 16000 Angoulême",Labregere,4,23/12/2022 07:57:05,FALSE,6,5,"45.6618164,0.1449709",FALSE
Angoulême,"2 Rue Pierre Brossolette, 16000 Angoulême",Rue de Limoges,6,20/12/2022 07:17:19,FALSE,2,3,"45.659184, 0.175206",FALSE
Angoulême,"19 Rue de la Cigogne, 16000 Angoulême",La Cigogne,2,24/12/2022 09:25:32,FALSE,5,1,"45.636789, 0.180832",FALSE
Angoulême,"65 Rue de la Loire, 16000 Angoulême",Saint-Gelais,4,17/06/2022 09:01:04,TRUE,,5,"45.645174, 0.162315",FALSE
Angoulême,"65 Rue de la Loire, 16000 Angoulême",Saint-Gelais,4,17/06/2022 09:00:59,TRUE,C,5,"45.645174, 0.162315",FALSE
Angoulême,"143 Rue de Montmoreau, 16000 Angoulême",Montmoreau,4,17/06/2022 23:26:14,TRUE,3,6,"45.641484, 0.157106",FALSE
Angoulême,"Rue Pierre Aumaitre, 16000 Angoulême",Pierre Aumaitre,1,23/12/2022 08:03:33,FALSE,6,1,"45.649403, 0.129630",FALSE
